# Steps: 4000000000
# Save frequency: 1000000
# M: 64
# L: 8
# beta: 1
# mu: 0.84
step,total_rods,horizontal_rods,vertical_rods
1157000000,378,6,372
1158000000,367,10,357
1159000000,373,22,351
1160000000,365,24,341
1161000000,373,23,350
1162000000,355,27,328
1163000000,371,12,359
1164000000,363,11,352
1165000000,372,22,350
1166000000,371,6,365
1167000000,376,9,367
1168000000,372,13,359
1169000000,356,11,345
1170000000,368,2,366
1171000000,368,5,363
1172000000,375,4,371
1173000000,373,9,364
1174000000,371,13,358
1175000000,380,10,370
1176000000,371,3,368
1177000000,377,2,375
1178000000,374,9,365
1179000000,356,5,351
1180000000,379,11,368
1181000000,374,0,374
1182000000,374,0,374
1183000000,366,6,360
1184000000,373,0,373
1185000000,361,0,361
1186000000,371,0,371
1187000000,370,6,364
1188000000,369,14,355
1189000000,365,12,353
1190000000,358,19,339
1191000000,369,10,359
1192000000,378,1,377
1193000000,369,0,369
1194000000,365,3,362
1195000000,361,17,344
1196000000,357,28,329
1197000000,356,29,327
1198000000,366,9,357
1199000000,367,0,367
1200000000,365,2,363
1201000000,366,4,362
1202000000,363,3,360
1203000000,374,0,374
1204000000,368,0,368
1205000000,363,5,358
1206000000,359,3,356
1207000000,369,0,369
1208000000,370,9,361
1209000000,370,18,352
1210000000,372,1,371
1211000000,367,0,367
1212000000,374,0,374
1213000000,368,0,368
1214000000,371,4,367
1215000000,371,2,369
1216000000,369,4,365
1217000000,359,10,349
1218000000,367,11,356
1219000000,372,1,371
1220000000,367,3,364
1221000000,369,1,368
1222000000,366,1,365
1223000000,364,0,364
1224000000,371,1,370
1225000000,372,0,372
1226000000,372,0,372
1227000000,371,5,366
1228000000,363,2,361
1229000000,377,0,377
1230000000,371,2,369
1231000000,365,1,364
1232000000,369,0,369
1233000000,365,3,362
1234000000,371,4,367
1235000000,361,8,353
1236000000,369,0,369
1237000000,373,0,373
1238000000,366,0,366
1239000000,369,11,358
1240000000,366,7,359
1241000000,364,10,354
1242000000,370,0,370
1243000000,369,0,369
1244000000,370,0,370
